player_id,player_display_name,position,season,team,games,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,sack_fumbles_lost,rushing_fumbles_lost,receiving_fumbles_lost,fantasy_points,fantasy_points_ppr,fantasy_points_per_game,fantasy_points_ppr_per_game,total_touches,opportunities,total_yards,total_tds,ppr_per_game,opportunities_per_game,touches_per_game,ppr_per_opportunity,overall_rank,position_rank
00-0036176,Mason Kinsey,WR,2025,TEN,6,0,0,0,0,0,0,2,4,48,0,0,0,0,4.800000000000001,6.800000000000001,0.8000000000000002,1.1333333333333335,2,4,48,0,1.1333333333333335,0.6666666666666666,0.3333333333333333,1.7000000000000002,465,195
00-0037093,Dareke Young,WR,2025,SEA,8,0,0,0,0,0,0,2,3,48,0,0,0,0,4.800000000000001,6.8,0.6000000000000001,0.85,2,3,48,0,0.85,0.375,0.25,2.2666666666666666,466,196
00-0036906,Khalil Herbert,RB,2025,NYJ,5,0,0,0,16,52,0,1,4,4,0,0,0,0,5.6000000000000005,6.6000000000000005,1.12,1.32,17,20,56,0,1.32,4.0,3.4,0.33,467,114
00-0034798,Durham Smythe,TE,2025,CHI,7,0,0,0,0,0,0,4,6,25,0,0,0,0,2.5,6.5,0.35714285714285715,0.9285714285714286,4,6,25,0,0.9285714285714286,0.8571428571428571,0.5714285714285714,1.0833333333333333,468,97
00-0038397,Evan Hull,RB,2025,NO,6,0,0,0,19,48,0,1,1,6,0,0,0,0,5.4,6.4,0.9,1.0666666666666667,20,20,54,0,1.0666666666666667,3.3333333333333335,3.3333333333333335,0.32,469,115
00-0040208,Tahj Brooks,RB,2025,CIN,12,0,0,0,16,45,0,1,2,9,0,0,0,0,5.4,6.4,0.45,0.5333333333333333,17,18,54,0,0.5333333333333333,1.5,1.4166666666666667,0.35555555555555557,470,116
00-0037487,Deven Thompkins,WR,2025,ATL,7,0,0,0,1,5,0,3,3,27,0,0,0,0,3.2,6.200000000000001,0.4571428571428572,0.8857142857142859,4,4,32,0,0.8857142857142859,0.5714285714285714,0.5714285714285714,1.5500000000000003,471,197
00-0034854,KhaDarel Hodge,WR,2025,ATL,8,0,0,0,0,0,0,3,10,31,0,0,0,0,3.1,6.1,0.3875,0.7625,3,10,31,0,0.7625,1.25,0.375,0.61,472,198
00-0034386,Justin Watson,WR,2025,HOU,3,0,0,0,0,0,0,3,4,30,0,0,0,0,3.0,6.0,1.0,2.0,3,4,30,0,2.0,1.3333333333333333,1.0,1.5,473,199
00-0038576,Charlie Jones,WR,2025,CIN,14,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,6.0,0.42857142857142855,0.42857142857142855,0,1,0,0,0.42857142857142855,0.07142857142857142,0.0,6.0,474,200
